Timestamp,Você está de acordo?,Como ficou sabendo desta pesquisa/censo?,"Em relação ao seu gênero, como você se identifica?",Qual a sua data de nascimento?,Você já sofreu alguma discriminação ou teve alguma dificuldade por conta da sua faixa etária?,"Caso sim, você poderia comentar sobre?",Estado civil:,"De acordo com os critérios do IBGE, qual é a sua cor/raça?","Considerando questões relacionadas à raça, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?",Você possui filhos?,Quantos filhos você possui?,Qual a data de nascimento do seu filho mais novo? ,Você já deixou de ir a algum evento por não ter com quem deixar a sua filha/filho?,"Considerando questões relacionadas à maternidade, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?",Você possui algum tipo de deficiência?,Qual(is) tipo(s) de deficiência(s) você possui?,Você já deixou de ir a algum evento por falta de acessibilidade do ambiente?,"Considerando questões relacionadas ao universo PcD, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?",Você pertence ao grupo LGBT+?,Você já deixou de ir a algum evento por ambiente não inclusivo/ discriminatório?,"Considerando questões relacionadas ao universo LGBT+, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?","Você faz parte de algum grupo sub-representado na área de tecnologia, que não foi citado? Caso sim, qual?",Você possui alguma restrição alimentar?,Qual (s) restrição (s) você possui?,Sua restrição se encaixa em algum (s) do (s) grupo (s) descrito (s) abaixo?,Você teria alguma sugestão para os coffee breaks dos eventos das R-Ladies?,Você se sente representada pelas R-Ladies?,"Considerando a soma da renda de todos os membros que contribuem com as despesas da sua casa, em qual das faixas abaixo a renda mensal bruta da sua casa se encaixa? ",Quantas pessoas contribuem para essa renda? ,Quantas pessoas vivem a partir dessa renda? ,Onde você mora atualmente:,Qual é a sua escolaridade?,"Em que ano você obteve, ou irá obter, o título mencionado na pergunta anterior?",Qual a sua área de formação/estudo (considerando o grau máximo que você estudou)?,Atualmente você está estudando?,Qual(is) da(s) opção(s) abaixo melhor descreve(m) seu vínculo de trabalho atual?,Qual das opções abaixo melhor descreve o seu perfil atual?,Qual o nome da sua ocupação atual?,Você está em processo de mudança de área?,Você tem como levar um notebook para um evento das R-Ladies?,"Se você tiver um notebook, qual(is) é(são) o(s) sistema(s) operacional(is) dele?",Qual o seu conhecimento em lógica de programação? ,Qual o seu conhecimento na linguagem R? ,Você já utilizou alguma das bibliotecas listadas abaixo? ,Você sabe programar (linhas de código) em alguma linguagem de programação que não o R? ,"Se sim, quais?",Qual o seu conhecimento em Git/Github/Gitlab?,Como ficou sabendo das R-Ladies - São Paulo?,Você participa de outras comunidades de tecnologia?,"Se sim, qual (s)?",Você já foi a um evento das R-Ladies?,"Considerando as opções abaixo, quais são suas preferências em relação aos dias/horários de eventos das R-Ladies? ",Por qual(is) formato(s) de evento das R-Ladies São Paulo você tem preferência?,Quais temas você gostaria de ver nos próximos eventos das R-Ladies São Paulo?,Gostaria de deixar uma mensagem para as R-Ladies?,Uma última pergunta: você teria interesse em ajudar as R-Ladies São Paulo?
2/8/2020 14:47:55,Sim,Indicação de amigo,Homem (cis ou trans),2/20/2019,Sim,,União estável,Amarela,,Não,,,,,Não,,,,Não,,,,Não,,,,Não,Mais de 15 salários mínimos,3,5,Outro estado,Mestrado (Stricto Sensu) Completo,1998,Estatística,Não,Trabalho formalmente (CLT),Gestora(o) / Executiva(o) / C-level / Sócia(o),Mestranda em d,"Não, e não quero",Sim,Windows,5,5,,Sim,,2,Outras comunidades,Não,,Sim,"Durante a semana (seg a sex), à noite",Workshop (dia inteiro),,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 13:42:20,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),8/16/1992,Não,,Solteira,Branca,,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 1 a 2 salários mínimos,2,5,São Paulo Capital / Zona Norte,Superior Incompleto,2022,Análise e Desenvolvimento de Sistemas,Sim,Trabalho informalmente,Estudante de graduação,Estudante de Análise e Desenvolvimento de Sistemas,Sim,Sim,Windows,5,2,,Sim,"Javascript, Python",2,Meetup,Sim,"Cloud Girls, WoMarkersCode, Pyladies",Sim,"Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, dia inteiro, Domingo","Workshop (dia inteiro), Palestras curtas (evento de até 2 horas), Mentoria, Networking / acolhimento",,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 13:44:33,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),5/7/1998,Não,,Solteira,Branca,,Não,,,,,Não,,,,Sim,Não,,,Não,,,,Sim,De 6 a 10 salários mínimos,3,6,São Paulo Região Metropolitana / Grande São Paulo,Superior Incompleto,2020,Ciências Sociais,Sim,"Estou desempregada, mas já trabalhei",Estudante de graduação,Estudante de ciências sociais,"Não, e não quero",Sim,MacOS,2,1,,Não,,1,Twitter,Não,,Sim,"Sábado, apenas à tarde","Workshop (dia inteiro), Workshop (meio período), Mentoria",Criação de gráficos,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 13:44:53,Sim,Grupo das R-Ladies no Telegram,Mulher (cis ou trans),2/24/1985,Não,,Casada,Branca,,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 10 a 15 salários mínimos,2,2,São Paulo Capital / Zona Sul,Doutorado/Pós-doutorado Completo,2013,Estatística,Não,Trabalho formalmente (CLT),Professora(o) / Pesquisadora(o),Professor,"Não, e não quero",Sim,Windows,3,3,"DBI / odbc / haven / openxlsx / xlsx, devtools / roxygen2 / usethis, forcats / lubridate / stringr, forecast / quantmod / tseries / xts / zoo, ggplot2 / plotly, knit / rmarkdown",Não,,2,Eventos,Não,,Não,"Durante a semana (seg a sex), à noite, Sábado, apenas à tarde, Sábado, dia inteiro","Workshop (dia inteiro), Workshop (meio período)","Shiny, Machine learning, Manipulação de dados, Ggplot2 e Plotly ",Parabéns pelo trabalho!!,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 13:45:33,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),1/18/1997,Não,,Solteira,Branca,Cotas,Não,,,,,Não,,,,Não,,,,Sim,,ovolactovegetarianismo,Divulgar mais para as participantes levarem um copo/caneca e um pote ,Sim,De 6 a 10 salários mínimos,1,3,São Paulo Capital / Zona Sul,Superior Incompleto,2022,Fonoaudiologia,Sim,Não trabalho e nunca trabalhei,Estudante de graduação,Estudante de fonoaudiologia ,"Não, e não quero",Sim,Windows,3,4,"bookdown / blogdown / pagedown, cluster / factorextra / FactoMineR / mvpart, data.table / Rcpp / parallel / vroom, DBI / odbc / haven / openxlsx / xlsx, dplyr / tidyr / tidyverse / janitor, ggplot2 / plotly, httr / jsonlite / rvest / xml2, knit / rmarkdown, slidify / xaringan, purrr / rlist",Não,,2,Facebook,Não,,Sim,"Sábado, apenas pela manhã, Sábado, dia inteiro","Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas)","For loop, GitHub ","Continuem, os eventos são muito bons","Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 13:45:35,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),3/10/1981,Não,,Casada,Branca,,Não,,,,,Não,,,,Sim,Sim,,,Sim,,ovolactovegetarianismo,Incluir café,Sim,De 10 a 15 salários mínimos,2,2,São Paulo Capital / Centro,Mestrado (Stricto Sensu) Completo,2018,Saude publica,Não,Trabalho formalmente como servidora publica,Tecnica,Medica,"Não, mas gostaria",Sim,Windows,1,3,"dplyr / tidyr / tidyverse / janitor, ggplot2 / plotly, knit / rmarkdown",Não,,2,Twitter,Não,,Sim,"Durante a semana (seg a sex), à noite, Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, dia inteiro, Domingo","Workshop (dia inteiro), Workshop (meio período), Mentoria, Networking / acolhimento","Analises estatisticas, confeccao graficos, analise espacial",,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 13:49:15,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),9/26/1981,Sim,"Onde eu trabalhava (empresa pública) sempre fui a mais jovem das equipes e, isso somado ao fato de ser mulher numa carreira de engenharia, parecia dar argumento às outras pessoas para que não confiassem no meu trabalho.",União estável,Branca,Buscar fazer parcerias e adotar estratégias de divulgação com foco em mulheres negras.,Sim,1,9/14/2019,Não,"Buscar sempre ter ""espaço kids"" nos eventos e divulgar isso.",Não,,,,Não,,,,Não,,,,Sim,De 10 a 15 salários mínimos,2,2,São Paulo Capital / Centro,Mestrado (Stricto Sensu) Completo,2016,Engenharia de Transportes,Sim,Trabalho como autônomo (MEI/PJ),Gestora(o) / Executiva(o) / C-level / Sócia(o),Pesquisadora e Cientista de Dados,Sim,Sim,Linux,3,4,"data.table / Rcpp / parallel / vroom, dplyr / tidyr / tidyverse / janitor, forcats / lubridate / stringr, forecast / quantmod / tseries / xts / zoo, ggplot2 / plotly, knit / rmarkdown, shiny / flexdashboard, sparklyr / sparkR, purrr / rlist",Sim,"C/C++, LateX, Python, SPSS, Stata",3,co-fundei capítulo de São Paulo,Sim,"AI Girls, Cerveja com Dados, WIMLDS",Sim,"Durante a semana (seg a sex), à noite, Sábado, apenas à tarde, Sábado, dia inteiro, Domingo","Mesa redonda, Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas), Mentoria, Networking / acolhimento","Machine learning com R, big data com R, shinny",Just love <3,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 14:18:17,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),8/25/1990,Sim,,Solteira,Parda,"Priorizar pessoas de cor preta (em lista de espera, principalmente) e contemplar essas pessoas com bolsas, quando for o caso.",Não,,,,,Não,,,,Não,,,,Sim,"Sigo uma dieta vegetariana, porém sempre tentando priorizar a dieta vegana.",vegetarianismo estrito,Ter mais opções vegetarianas e veganas.,Sim,De 10 a 15 salários mínimos,2,3,Outro estado,Superior Incompleto,2022,Estatística,Sim,Trabalho formalmente (CLT),Estudante de graduação,Cientista de dados,"Não, e não quero",Sim,MacOS,2,3,"dplyr / tidyr / tidyverse / janitor, knit / rmarkdown",Não,,1,Eventos,Sim,R-Ladies Vitória,Sim,"Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, dia inteiro","Mesa redonda, Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas), Networking / acolhimento","Mineração de texto, web scrapping, SHAP, XGBoost.",Vocês são incríveis!,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 14:19:26,Sim,Indicação de amiga (o),Mulher (cis ou trans),12/4/1995,Não,,Solteira,Parda,,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 2 a 4 salários mínimos,3,3,Outro estado,Superior Completo,2019,Engenharia de Computação ,Não,Trabalho formalmente (CLT),Júnior,Analista de Dados,"Não, e não quero",Sim,Linux,4,2,dplyr / tidyr / tidyverse / janitor,Sim,"C/C++, LateX, Python",3,Outras comunidades,Sim,"PyLadies, PyData",Sim,"Sábado, dia inteiro","Workshop (dia inteiro), Workshop (meio período), Networking / acolhimento","R Avançado, Machine Learning com R, Analise de Dados com R",,"Não, obrigada"
2/9/2020 14:19:45,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),10/6/1984,Não,,Casada,Branca,,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 6 a 10 salários mínimos,2,2,São Paulo Capital / Zona Sul,Superior Completo,2013,design,Sim,"Estou desempregada, mas já trabalhei",Estudante de graduação,graduanda em estatística ,Sim,Sim,Windows,3,2,ggplot2 / plotly,Sim,Python,1,Meetup,Não,,Sim,"Sábado, dia inteiro, Domingo",Workshop (meio período),r pra analise de dados,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 14:36:31,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),5/26/1995,Não,,Solteira,Branca,,Não,,,,,Não,,,,Sim,Sim,,,Sim,,ovolactovegetarianismo,,Sim,De 2 a 4 salários mínimos,1,1,São Paulo Capital / Centro,Superior Completo,2017,jornalismo,Não,Trabalho formalmente (CLT),Júnior,webdesigner junior (é complexo hahah),Sim,Não,Windows,4,3,"data.table / Rcpp / parallel / vroom, dplyr / tidyr / tidyverse / janitor, ggplot2 / plotly, knit / rmarkdown, purrr / rlist",Sim,"Javascript, Python",4,Meetup,Sim,"mulheres em tecnologia num geral, mais ativa em eventos da reprograma",Sim,"Durante a semana (seg a sex), à noite, Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, dia inteiro","Workshop (dia inteiro), Palestras curtas (evento de até 2 horas), Mentoria",,<3,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 14:38:33,Sim,Indicação de amiga (o),Mulher (cis ou trans),3/31/1997,Não,,Casada,Branca,,Não,,,,,Não,,,,Sim,Não,,,Não,,,,Sim,De 6 a 10 salários mínimos,2,2,São Paulo Capital / Zona Oeste,Superior Incompleto,2020,Gestão de políticas públicas,Sim,Trabalho formalmente (CLT),Júnior,Analista de pesquisa Jr.,"Não, e não quero",Sim,Windows,3,3,"dplyr / tidyr / tidyverse / janitor, ggplot2 / plotly",Não,,2,Indicação de um amigo,Não,,Sim,"Sábado, dia inteiro, Domingo","Workshop (dia inteiro), Workshop (meio período)",,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
2/9/2020 15:07:13,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),10/15/1991,Não,,Solteira,Branca,Divulgar os cursos em grupos do Facebook de mulheres negras,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 2 a 4 salários mínimos,2,5,São Paulo Capital / Zona Sul,Mestrado (Stricto Sensu) Completo,2019,Meteorologia,Sim,"Estou desempregada, mas já trabalhei",Estudante de pós-graduação,Estou me organizando para entrar no doutorado,"Não, e não quero",Não,Windows,4,4,"dplyr / tidyr / tidyverse / janitor, forcats / lubridate / stringr, ggplot2 / plotly",Sim,C/C++,1,Facebook,Sim,PyLadies,Sim,"Durante a semana (seg a sex), à noite, Sábado, dia inteiro, Domingo","Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas), Mentoria, Networking / acolhimento","Data science, deep learning","Eu gosto muito dos eventos, sempre que possível, eu participo. Os lugares são sempre muito legais e bem acessíveis, exceto na IBM em que eu achei complicado o acesso para o metrô mais próximo e as redondezas me fizeram ficar com medo de andar a pé.","Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
